Date,Trips over the past 24-hours (midnight to 11:59pm),Cumulative trips (since launch):,Miles traveled today (midnight to 11:59 pm),Miles traveled to date:,Total Annual Members,Annual Member Sign-Ups (midnight to 11:59 pm),24-Hour Passes Purchased (midnight to 11:59 pm),7-Day Passes Purchased (midnight to 11:59 pm),difference
7/18/2014,39526,10672342,69.416,"18,531,723",116472,111,1502,148,111
7/19/2014,31943,10704285,64.395,"18,596,118",116551,79,2796,130,79
7/20/2014,33156,10737441,68.542,"18,664,660",116669,118,2767,146,118
7/21/2014,38963,10776404,64.824,"18,729,484",116812,143,1162,129,143
7/22/2014,40450,10816854,67.081,"18,796,565",116969,157,992,127,157
7/23/2014,37508,10854362,59.956,"18,856,521",117090,121,816,126,121
7/24/2014,40419,10894781,67.584,"18,924,105",117229,139,1064,109,139
7/25/2014,39768,10934549,68.652,"18,992,757",117340,111,1457,105,111
7/26/2014,29882,10964431,59.645,"19,052,402",117427,87,2428,92,87
7/27/2014,29669,10994100,58.193,"19,110,595",117530,103,2108,115,103
7/28/2014,36360,11030460,59.567,"19,170,162",117703,173,877,150,173
7/29/2014,41198,11071658,68.064,"19,238,226",117930,227,1089,128,227
7/30/2014,41207,11112865,68.127,"19,306,353",118075,145,1116,99,145
7/31/2014,39282,11152147,65.414,"19,371,767",118204,129,1065,113,129
8/1/2014,35829,11187976,59.202,"19,430,969",118314,110,1192,93,110
8/2/2014,30013,11217989,60.544,"19,490,171",118408,94,2540,127,94
8/3/2014,27854,11245843,55.867,"19,546,038",118555,147,2146,96,147
8/4/2014,37408,11283251,63.737,"19,609,775",118704,149,1097,165,149
8/5/2014,38168,11321419,63.957,"19,673,732",118830,126,1059,119,126
8/6/2014,39942,11361361,66.342,"19,740,074",118938,108,1067,144,108
8/7/2014,39933,11401294,67.398,"19,807,472",119047,109,1083,129,109
8/8/2014,37367,11438661,64.33,"19,871,802",119137,90,1342,111,90
8/9/2014,35701,11474362,81.003,"19,952,805",119244,107,3814,151,107
8/10/2014,29339,11503701,61.287,"20,014,092",119351,107,2303,131,107
8/11/2014,36837,11540538,61.708,"20,075,800",119495,144,1167,132,144
8/12/2014,28591,11569129,41.88,"20,117,680",119584,89,526,90,89
8/13/2014,30698,11599827,49.367,"20,167,047",119693,109,661,98,109
8/14/2014,38863,11638690,67.924,"20,234,971",119789,96,1069,128,96
8/15/2014,35524,11674214,60015,20294986,119869,80,1198,117,80
8/16/2014,36127,11710341,83272,20378258,119962,93,4217,155,93
8/17/2014,30223,11740564,61390,20439648,120069,107,2344,121,107
8/18/2014,37851,11778415,64873,20504521,120227,158,1156,157,158
8/19/2014,38912,11817327,65883,20570404,120356,129,965,140,129
8/20/2014,39090,11856417,66900,20637304,120470,114,1057,110,114
8/21/2014,36917,11893334,62373,20699677,120598,128,960,107,128
8/22/2014,33147,11926481,54765,20754442,120688,90,863,81,90
8/23/2014,28956,11955437,57270,20811712,120769,81,2254,98,81
8/24/2014,30422,11985859,65005,20876717,120884,115,2528,125,115
8/25/2014,36244,12022103,60866,20937583,121050,166,1007,146,166
8/26/2014,37937,12060040,62487,21000070,121157,107,937,124,107
8/27/2014,36900,12096940,61488,21061558,121292,135,829,83,135
8/28/2014,37055,12133995,62402,21123960,121423,131,982,83,131
8/29/2014,34292,12168287,59371,21183331,121522,99,1329,109,99
8/30/2014,25239,12193526,52782,21236113,121610,88,2442,99,88
8/31/2014,20097,12213623,41594,21277707,121690,80,1952,89,80
9/1/2014,26055,12239678,51270,21328977,121809,119,2083,105,119
9/2/2014,34005,12273683,53842,21382819,121979,170,693,121,170
9/3/2014,38998,12312681,62736,21445555,122124,145,789,148,145
9/4/2014,40022,12352703,64563,21510118,122248,124,816,125,124
9/5/2014,38325,12391028,64421,21574539,122356,108,1111,121,108
9/6/2014,28290,12419318,51519,21626058,122438,82,1674,105,82
9/7/2014,32524,12451842,65394,21691452,122555,117,2222,115,117
9/8/2014,38091,12489933,60610,21752062,122697,142,818,118,142
9/9/2014,38101,12528034,59026,21811088,122818,121,620,99,121
9/10/2014,41634,12569668,69561,21880649,122915,97,981,104,97
9/11/2014,40864,12610532,65798,21946447,123006,91,844,90,91
9/12/2014,41341,12651873,75561,22022008,123111,105,1195,103,105
9/13/2014,19110,12670983,31600,22053608,123192,81,842,67,81
9/14/2014,31589,12702572,62963,22116571,123309,117,2290,117,117
9/15/2014,39044,12741616,64983,22181554,123421,112,858,118,112
9/16/2014,28285,12769901,43250,22224804,123521,100,484,61,100
9/17/2014,41347,12811248,67758,22292562,123636,115,916,121,115
9/18/2014,41145,12852393,67840,22360402,123718,82,887,115,82
9/19/2014,38162,12890555,62500,22422902,123796,78,979,90,78
9/20/2014,32951,12923506,64838,22487740,123850,54,2464,122,54
9/21/2014,28530,12952036,54319,22542059,123926,76,1693,90,76
9/22/2014,36624,12988660,59024,22601083,124044,118,748,84,118
9/23/2014,40105,13028765,66590,22667673,124124,80,841,106,80
9/24/2014,38976,13067741,62834,22730507,124230,106,719,100,106
9/25/2014,18282,13086023,26019,22756526,124291,61,165,24,61
9/26/2014,38394,13124417,66227,22822753,124376,85,1297,118,85
9/27/2014,33322,13157739,69724,22892477,124433,57,2712,118,57
9/28/2014,32080,13189819,64811,22957288,124532,99,2259,129,99
9/29/2014,36896,13226715,59305,23016593,124645,113,689,114,113
9/30/2014,39061,13265776,59970,23076563,124734,89,613,65,89
10/1/2014,31197,13296973,44612,23121175,124846,112,330,48,112
10/2/2014,38286,13335259,60639,23181814,124959,113,602,86,113
10/3/2014,38956,13374215,65739,23247553,125024,65,1276,107,65
10/4/2014,15088,13389303,24254,23271807,125058,34,617,26,34
10/5/2014,26247,13415550,48930,23320737,125109,51,1470,90,51
10/6/2014,35651,13451201,56380,23377117,125203,94,710,99,94
10/7/2014,36931,13488132,58740,23435857,125262,59,593,81,59
10/8/2014,37870,13526002,60594,23496451,125354,92,667,86,92
10/9/2014,36427,13562429,57865,23554316,125407,53,709,71,53
10/10/2014,34690,13597119,54690,23609006,125464,57,905,78,57
10/11/2014,14805,13611924,23278,23632284,125487,23,528,34,23
10/12/2014,26259,13638183,52781,23685064,125529,42,2083,80,42
10/13/2014,25616,13663799,40275,23725339,125589,60,749,60,60
10/14/2014,36529,13700328,61691,23787030,125651,62,869,101,62
10/15/2014,31784,13732112,49319,23836349,125703,52,506,82,52
10/16/2014,29845,13761957,47808,23884157,125763,60,499,61,60
10/17/2014,37759,13799716,64389,23948545,125816,53,1180,105,53
10/18/2014,27634,13827350,52554,24001099,125865,49,1806,63,49
10/19/2014,21017,13848367,35039,24036139,125914,49,1000,57,49
10/20/2014,30928,13879295,48030,24084168,125968,54,514,74,54
10/21/2014,34710,13914005,53960,24138128,126008,40,539,90,40
10/22/2014,10402,13924407,13894,24152022,126037,29,110,30,29
10/23/2014,14886,13939293,20446,24172468,126062,25,74,19,25
10/24/2014,33022,13972315,51151,24223619,126086,24,722,84,24
10/25/2014,27802,14000117,53881,24277499,126117,31,2093,83,31
10/26/2014,23077,14023194,41308,24318808,126166,49,1220,71,49
10/27/2014,31908,14055122,49892,24368754,126229,63,519,73,63
10/28/2014,36429,14091551,56602,24425356,126395,166,628,79,166
10/29/2014,32944,14124495,48378,24473733,126460,65,466,70,65
10/30/2014,34658,14159153,52162,24525895,126487,27,557,61,27
10/31/2014,30787,14189940,46834,24572729,126503,16,653,75,16
11/1/2014,6739,14196679,8703,24581432,126514,11,98,10,11
11/2/2014,15730,14212409,23106,24604538,126527,13,480,44,13
11/3/2014,29590,14241999,45368,24649906,126557,30,568,51,30
11/4/2014,34612,14276611,54306,24704213,126579,22,665,80,22
11/5/2014,33764,14310375,52464,24756677,126611,32,513,49,32
11/6/2014,13882,14324257,18743,24775420,126627,16,98,12,16
11/7/2014,28053,14352310,40163,24815583,126647,20,416,45,20
11/8/2014,19372,14371682,31589,24847172,126659,12,878,40,12
11/9/2014,20225,14391907,34251,24881423,126675,16,952,44,16
11/10/2014,30616,14422523,46768,24928191,126700,25,607,46,25
11/11/2014,32312,14454835,49461,24977651,126719,19,599,41,19
11/12/2014,30830,14485665,45234,25022886,126747,28,325,36,28
11/13/2014,22798,14508463,32395,25055281,126770,23,252,21,23
11/14/2014,23452,14531915,33240,25088520,126783,13,242,28,13
11/15/2014,15403,14547318,23774,25112295,126797,14,522,16,14
11/16/2014,14544,14561862,20645,25132940,126811,14,319,20,14
11/17/2014,8944,14570806,11294,25144234,126823,12,25,8,12
11/18/2014,18436,14589242,23704,25167938,126834,11,78,26,11
11/19/2014,18211,14607453,24052,25191989,126847,13,102,17,13
11/20/2014,22682,14630135,30878,25222867,126858,11,160,20,11
11/21/2014,19582,14649717,25533,25248400,126865,7,131,24,7
11/22/2014,13838,14663555,20211,25268611,126875,10,345,9,10
11/23/2014,17012,14680567,27503,25296114,126886,11,628,26,11
11/24/2014,25007,14705574,37873,25333986,126894,8,374,45,8
11/25/2014,27889,14733463,39495,25373481,126904,10,365,27,10
11/26/2014,4064,14737527,4997,25378478,126908,4,14,1,4
11/27/2014,4331,14741858,5954,25384432,126911,3,74,10,3
11/28/2014,9157,14751015,12743,25397175,126918,7,209,8,7
11/29/2014,8974,14759989,12808,25409983,126924,6,235,14,6
11/30/2014,13612,14773601,21244,25431227,126937,13,449,25,13
12/1/2014,20398,14793999,29977,25461204,126956,19,281,20,19
12/2/2014,16961,14810960,22343,25483547,126970,14,45,24,14
12/3/2014,15078,14826038,23083,25506630,126978,8,65,6,8
12/4/2014,23442,14849480,33077,25539707,126986,8,191,14,8
12/5/2014,17289,14866769,23200,25562908,126992,6,153,12,6
12/6/2014,4487,14871256,5787,25568695,127004,12,59,5,12
12/7/2014,11404,14882660,16007,25584702,127012,8,254,13,8
12/8/2014,17015,14899675,21665,25606367,127024,12,60,11,12
12/9/2014,7322,14906997,9458,25615825,127031,7,18,4,7
12/10/2014,11476,14918473,14590,25630415,127036,5,23,5,5
12/11/2014,19840,14938313,27417,25657832,127041,5,144,19,5
12/12/2014,19393,14957706,25689,25683521,127046,5,151,13,5
12/13/2014,13760,14971466,21276,25704797,127050,4,324,20,4
12/14/2014,13255,14984721,19351,25724148,127058,8,326,20,8
12/15/2014,21306,15006027,29232,25753380,127065,7,186,25,7
12/16/2014,18653,15024680,25116,25778496,127075,10,119,19,10
12/17/2014,22350,15047030,30878,25809373,127085,10,186,18,10
12/18/2014,20679,15067709,27451,25836824,127093,8,119,14,8
12/19/2014,18696,15086405,24828,25861652,127104,11,158,14,11
12/20/2014,10628,15097033,13747,25875399,127116,12,145,7,12
12/21/2014,9582,15106615,12740,25888139,127126,10,170,9,10
12/22/2014,14849,15121464,20321,25908460,127138,12,156,17,12
12/23/2014,10405,15131869,13946,25922406,127146,8,68,9,8
12/24/2014,4716,15136585,6183,25928589,127155,9,36,7,9
12/25/2014,5354,15141939,11023,25939612,127165,10,456,41,10
12/26/2014,10775,15152714,17715,25957327,127183,18,464,63,18
12/27/2014,11128,15163842,21130,25978457,127196,13,741,58,13
12/28/2014,8719,15172561,12978,25991435,127222,26,326,23,26
12/29/2014,14763,15187324,22499,26013934,127244,22,363,37,22
12/30/2014,13277,15200601,18112,26032046,127258,14,214,31,14
12/31/2014,10450,15211051,14560,26046606,127269,11,216,12,11
